Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Memories,8.0,2013,Jeethu Joseph,Mystery,"Sam Alex , drunkard ex-cop , forced investigate series murders committed pattern . His search leads serial killer , something expect ... Read","Mystery, Thriller"
Malik,8.0,2021,Mahesh Narayanan,Action,"A past ridden crime , death pain recounted Freddy , juvenile criminal , assigned eliminate estranged uncle Sulaiman , aging patriarch , behind bars .","Action, Biography, Crime"
Thuppakki,8.1,2012,A.R. Murugadoss,Action,An army captain mission track destroy terrorist gang deactivate sleeper cells command .,"Action, Thriller"
The Tashkent Files,8.1,2019,Vivek Agnihotri,Drama,"Revolves around mysterious death India 's 2nd Prime Minister Shri Lal Bahadur Shastri attempts uncover actually died natural death , , alleged , assassinated .","Drama, Mystery, Thriller"
Anjaam Pathiraa,7.9,2020,Midhun Manuel Thomas,Crime,"The police trail serial killer , victims fellow officers , able catch killer solve case time ?","Crime, Mystery, Thriller"
The Music Room,7.9,1958,Satyajit Ray,Drama,"Depicts end days decadent zamindar ( landlord ) Bengal , efforts uphold family prestige even faced economic adversity .","Drama, Music"
English Vinglish,7.8,2012,Gauri Shinde,Comedy,"A quiet , sweet tempered housewife endures small slights well-educated husband daughter every day inability speak understand English .","Comedy, Drama, Family"
Arjun Reddy,7.9,2017,Sandeep Reddy Vanga,Action,"Arjun Reddy , short-tempered house surgeon , gets used drugs drinks girlfriend forced marry another person .","Action, Drama, Romance"
Johnny Gaddaar,7.9,2007,Sriram Raghavan,Crime,"Police officers recount tale missing money results lies , deceit , betrayal death .","Crime, Drama, Thriller"
Dor,7.9,2006,Nagesh Kukunoor,Drama,"Two woman -- different backgrounds , miles apart , strangers -- linked tragedy . Their new-found friendship tested one holds fate 's husband ... Read",Drama
Lakshya,7.8,2004,Farhan Akhtar,Action,"An aimless , jobless , irresponsible grown man joins army matures battlefield hero .","Action, Drama, Romance"
Pokiri,8.0,2006,Puri Jagannadh,Action,A money-minded criminal deal two rival gangs well evil cop threatening girlfriend .,"Action, Crime, Thriller"
Aavesham,7.9,2024,Jithu Madhavan,Action,Three teenagers reach Bangalore engineering degree gets involved fight seniors . They find local gangster named Ranga help take revenge .,"Action, Comedy"
Kaakha Kaakha,8.0,2003,Gautham Vasudev Menon,Action,"After police team kills brother , drug-dealing gangster vows kill entire team respective families .","Action, Crime, Drama"
